tripduration,starttime,stoptime,start_station_id,start_station_name,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_latitude,end_station_longitude,bikeid,usertype,birth_year,gender
267,5/13/2016 8:00,5/13/2016 8:05,340,Madison St & Clinton St,40.71269042,-73.98776323,295,Pike St & E Broadway,40.71406667,-73.99293911,16824,Subscriber,1979,2
1935,9/21/2017 13:30,9/21/2017 14:02,3226,W 82 St & Central Park West,40.78275,-73.97137,3137,5 Ave & E 73 St,40.77282817,-73.96685276,26463,Customer,,0
662,5/18/2016 4:57,5/18/2016 5:08,253,W 13 St & 5 Ave,40.73543934,-73.99453948,459,W 20 St & 11 Ave,40.746745,-74.007756,18063,Subscriber,1971,1
763,11/6/2014 23:19,11/6/2014 23:31,546,E 30 St & Park Ave S,40.74444921,-73.98303529,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,16886,Subscriber,1991,2
483,35:48.5,43:52.4,3467,W Broadway & Spring Street,40.72494672,-74.00165856,293,Lafayette St & E 8 St,40.73020661,-73.99102628,21077,Subscriber,1986,2
717,11/24/2014 18:03,11/24/2014 18:15,519,Pershing Square North,40.751873,-73.977706,483,E 12 St & 3 Ave,40.73223272,-73.98889957,17944,Subscriber,1983,1
452,10/13/2016 17:51,10/13/2016 17:59,284,Greenwich Ave & 8 Ave,40.73901691,-74.00263761,334,W 20 St & 7 Ave,40.74238787,-73.99726235,18150,Subscriber,1979,1
445,4/28/2017 10:23,4/28/2017 10:30,511,E 14 St & Avenue B,40.72938685,-73.97772429,507,E 25 St & 2 Ave,40.73912601,-73.97973776,24841,Subscriber,1997,2
1753,5/18/2017 19:06,5/18/2017 19:35,480,W 53 St & 10 Ave,40.76669671,-73.99061728,3002,South End Ave & Liberty St,40.711512,-74.015756,27411,Subscriber,1984,1
236,32:58.0,36:54.4,438,St Marks Pl & 1 Ave,40.72779126,-73.98564945,483,E 12 St & 3 Ave,40.73223272,-73.98889957,32107,Subscriber,1980,1
